City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,thompson,55.7435,-97.8558,27.09,44,40,6.17,CA,1688337738
1,port-aux-francais,-49.35,70.2167,5.2,83,61,14.07,TF,1688337819
2,jamestown,42.097,-79.2353,21.96,95,100,2.06,US,1688337654
3,waitangi,-43.9535,-176.5597,8.34,57,94,12.15,NZ,1688337820
4,douglas,41.3,-96.167,31.25,46,40,2.57,US,1688337718
5,arraial do cabo,-22.9661,-42.0278,20.92,73,40,5.66,BR,1688337820
6,aasiaat,68.7098,-52.8699,4.9,71,53,6.39,GL,1688337821
7,weno,7.4515,151.8468,29.97,84,75,3.09,FM,1688337821
8,radford,37.1318,-80.5764,30.89,64,0,4.63,US,1688337821
9,mercedes,-34.6515,-59.4307,18.91,83,98,4.74,AR,1688337499
10,cabo san lucas,22.8909,-109.9124,30.59,82,100,6.17,MX,1688337756
11,happy valley-goose bay,53.3168,-60.3315,25.17,57,75,5.66,CA,1688337821
12,grytviken,-54.2811,-36.5092,-5.77,80,16,4.95,GS,1688337822
13,bandar labuan,5.2888,115.2692,24.2,100,40,0.0,MY,1688337822
14,west island,-12.1568,96.8225,25.99,83,100,6.17,CC,1688337822
15,bismarck,46.8083,-100.7837,33.91,43,0,7.72,US,1688337822
16,arauca,7.0847,-70.7591,30.0,70,62,0.51,CO,1688337823
17,san patricio,28.017,-97.5169,36.77,46,82,6.91,US,1688337823
18,college,64.8569,-147.8028,26.16,45,40,3.09,US,1688337718
19,pascagoula,30.3658,-88.5561,33.35,63,0,2.57,US,1688337823
20,olonkinbyen,70.9221,-8.7187,4.11,84,100,5.57,SJ,1688337824
21,invercargill,-46.4,168.35,7.76,79,99,8.11,NZ,1688337824
22,nur-sultan,51.1801,71.446,18.97,48,0,4.0,KZ,1688337824
23,antofagasta,-23.65,-70.4,17.6,85,46,3.23,CL,1688337364
24,south hedland,-20.4089,118.5983,14.96,55,100,4.12,AU,1688337824
25,namibe,-15.1961,12.1522,19.85,71,3,2.21,AO,1688337825
26,andergrove,-21.0833,149.1833,22.58,76,87,8.96,AU,1688337825
27,pacific grove,36.6177,-121.9166,32.58,71,0,5.36,US,1688337825
28,blackmans bay,-43.0167,147.3167,5.29,80,32,0.5,AU,1688337825
29,ust-nera,64.5667,143.2,28.86,41,24,3.83,RU,1688337825
30,adamstown,-25.066,-130.1015,21.2,60,36,4.84,PN,1688337826
31,bethel,41.3712,-73.414,27.93,73,97,0.89,US,1688337826
32,georgetown,5.4112,100.3354,27.96,92,20,1.03,MY,1688337711
33,utrik,11.2278,169.8474,28.23,76,60,7.61,MH,1688337826
34,isafjordur,66.0755,-23.124,6.13,86,88,4.85,IS,1688337826
35,albany,42.6001,-73.9662,23.23,99,100,1.22,US,1688337827
36,labin,45.095,14.1197,21.14,81,1,1.91,HR,1688337827
37,pisco,-13.7,-76.2167,21.03,73,20,5.66,PE,1688337827
38,bardai,11.65,7.2333,24.1,75,36,3.55,NG,1688337827
39,laojunmiao,39.8333,97.7333,13.06,45,0,1.88,CN,1688337828
40,atafu village,-8.5421,-172.5159,28.86,69,46,8.03,TK,1688337828
41,al kharj,24.155,47.3346,34.32,15,80,2.93,SA,1688337828
42,cadale,2.7603,46.3222,24.8,75,40,8.07,SO,1688337828
